source,target,value,mapping,assetgroep
ad4.elektriciteitskabel_l (34538),ad5.datakabel_l (1396),1,TYPESPEC_DAT,bodem
ad4.overbruggingsdeel_v (2909),ad5.dek_v (1021),1,TYPEOVERBRUGGINGSDEEL_dek,kunstwerken
ad4.sensor_l (11577),ad5.detector_l (11577),1,x_x,ovl/vri
ad4.sensor_p (2001),ad5.detector_p (9),1,TYPESPEC_Radar detector,ovl/vri
ad4.overigBouwwerk_v (824),ad5.dok_v (18),1,BGTPLUSTYPE_bassin,vaarwegen
ad4.buis_l (10618),ad5.drain_l (81),1,TYPESPEC_drainagebuis,bodem
ad4.leidingelement_p (26119),ad5.drainageput_p (41),1,TYPESPEC_Drainageput,bodem
ad4.sensor_p (2001),ad5.drukknop_p (935),1,TYPESPEC_Drukknopsensor,ovl/vri
ad4.kunstwerkdeel_l (2556),ad5.duiker_l (2234),1,BGTPLUSTYPE_niet-bgt_ niet-bgt_duiker,kunstwerken
ad4.kunstwerk_p (869),ad5.duiker_p (261),1,NENBEHEEROBJECT_Duikers_Overkluizingen_Sifons,kunstwerken
ad4.kunstwerkdeel_v (3773),ad5.duiker_v (1578),1,BGTPLUSTYPE_niet-bgt_duiker,kunstwerken
ad4.begroeidTerreindeelBerm_v (15669),ad5.duin_v (294),1,FYSIEKVOORKOMEN_duin_duin_gesloten duinvegetatie_duin_open duinvegetatie,groen
ad4.kunstwerk_p (869),ad5.ecoduct_p (6),1,NENBEHEEROBJECT_Ecoducten,kunstwerken
ad4.kast_p (2249),ad5.elektriciteitskast_p (75),1,TYPESPEC_Elec,ovl/vri
ad4.ondersteunendWegdeel_v (34754),ad5.elementenverharding_v (27301),1,FYSIEKVOORKOMEN_open verharding_open verharding_beton element_open verharding_betonstraatstenen_open verharding_gebakken klinkers_open verharding_sierbestrating_open verharding_tegels_half verhard_grasklinkers,wegen
ad4.wegdeel_v (60933),ad5.elementenverharding_v (27301),1,FYSIEKVOORKOMEN_open verharding_open verharding_beton element_open verharding_betonstraatstenen_open verharding_gebakken klinkers_open verharding_sierbestrating_open verharding_tegels_half verhard_grasklinkers,wegen
ad4.onbegroeidTerreindeel_v (10669),ad5.elementenverharding_v (27301),1,FYSIEKVOORKOMEN_open verharding_open verharding_beton element_open verharding_betonstraatstenen_open verharding_gebakken klinkers_open verharding_sierbestrating_open verharding_tegels_half verhard_grasklinkers,wegen
ad4.scheidingGeleidewand_l (306),ad5.faunameubilair_l (329),1,x_x,groen
ad4.ecopassage_l (194),ad5.faunameubilair_l (329),1,TYPESPEC_Loopplank onder brug,groen
ad4.ecopassage_l (194),ad5.faunaverblijfplaats_p (1),1,TYPESPEC_Vleermuisbunker,groen
ad4.ecopassage_l (194),ad5.faunavoorziening_l (172),1,TYPESPEC_Amfibie_ntunnel_Boombrug_brug of viaduct met faunavoorziening_Duiker_ Looprichel_ecoduiker _ duiker met faunavoorziening_kleine faunatunnel_Looprichel_Onduidelijk_Overig_Overige faunatunnel_tunnel _ viaduct met medegebruik fauna,groen
ad4.kunstwerkdeel_v (3773),ad5.faunavoorziening_v (53),1,BGTPLUSTYPE_niet-bgt_faunavoorziening,groen
ad4.fietsparkeervoorziening_l (776),ad5.fietsparkeervoorziening_l (776),1,x_x,wegkantsystemen
ad4.straatmeubilair_p (6902),ad5.fietsparkeervoorziening_p (133),1,TYPESPEC_fietsenrek,wegkantsystemen
ad4.kunstwerk_p (869),ad5.flyover_p (9),1,BEHEEROBJECTSUBTYP_Fly-over,kunstwerken
ad4.straatmeubilair_p (6902),ad5.fontein_p (1),1,TYPESPEC_Fontein,wegkantsystemen
ad4.begroeidTerreindeel_v (3887),ad5.fruit_of_kweekbomen_v (38),1,FYSIEKVOORKOMEN_fruitteelt_boomteelt_fruitteelt_hoogstam boomgaarden_fruitteelt_laagstam boomgaarden_fruitteelt_wijngaarden_fruitteelt_klein fruit,groen
ad4.kast_p (2249),ad5.gaskast_p (78),1,TYPESPEC_Gaskast,bodem
ad4.put_p (1278),ad5.gasput_p (12),1,BGTPLUSTYPE_niet-bgt_gasput,bodem
ad4.faunavoorziening_v (82),ad5.gebied_faunavoorziening_v (82),1,x_x,groen
ad4.pand_v (5319),ad5.gebouw_v (5684),1,x_x,integraal
ad4.overigBouwwerk_v (824),ad5.gebouw_v (5684),1,BGTPLUSTYPE_niet-bgt_bunker_niet-bgt_schuur_lage trafo,integraal
ad4.weginrichtingselement_l (8250),ad5.geleideconstructie_l (2701),1,TYPESPEC_GR_VC_MSB,wegen
ad4.weginrichtingselement_v (46),ad5.geleideconstructie_v (23),1,TYPESPEC_Barrier,wegen
ad4.waterinrichtingselement_l (718),ad5.geleidewerk_l (416),1,BGTPLUSTYPE_niet-bgt_geleidewerk,vaarwegen
ad4.scheidingGeluidsscherm_l (483),ad5.geluidsscherm_l (483),1,x_x,wegkantsystemen
ad4.geluidwerendeVoorziening_l (195),ad5.geluidwerendevoorziening_l (195),1,x_x,wegkantsystemen
ad4.kunstwerkdeel_v (3773),ad5.gemaal_v (130),1,BGTPLUSTYPE_gemaal,kunstwerken
ad4.kunstwerk_p (869),ad5.gemaalcomplex_p (3),1,NENBEHEEROBJECT_Gemalen,kunstwerken
ad4.ondersteunendWaterdeel_v (14135),ad5.getijdengebied_v (1),1,BGTPLUSTYPE_slik,vaarwegen
ad4.kast_p (2249),ad5.gms_kast_p (38),1,TYPESPEC_GMS-kast,ovl/vri
ad4.sensor_p (2001),ad5.gms_sensor_p (150),1,TYPESPEC_GMS-sensor geleiding_GMS-sensor temperatuur,ovl/vri
ad4.begroeidTerreindeelBerm_v (15669),ad5.gras_en_kruidachtigen_v (37015),1,FYSIEKVOORKOMEN_grasland agrarisch_grasland overig_groenvoorziening_gras- en kruidachtigen,groen
ad4.ondersteunendWegdeel_v (34754),ad5.gras_en_kruidachtigen_v (37015),1,FYSIEKVOORKOMEN_groenvoorziening_gras- en kruidachtigen,groen
ad4.begroeidTerreindeel_v (3887),ad5.gras_en_kruidachtigen_v (37015),1,FYSIEKVOORKOMEN_grasland agrarisch_grasland overig_groenvoorziening_gras- en kruidachtigen,groen
ad4.vegetatieobject_v (210),ad5.groeiplaats_v (7),1,TYPESPEC_Groeiplaatsinrichting,groen
ad4.begroeidTerreindeelBerm_v (15669),ad5.groenobject_v (4555),1,FYSIEKVOORKOMEN_groenvoorziening,groen
ad4.ondersteunendWegdeel_v (34754),ad5.groenobject_v (4555),1,FYSIEKVOORKOMEN_groenvoorziening,groen
ad4.vegetatieObject_l (1302),ad5.haag_l (1302),1,BGTPLUSTYPE_niet-bgt_haag,groen
ad4.vegetatieObject_v (210),ad5.haag_v (1),1,TYPESPEC_Haag,groen
ad4.wegdeel_v (60933),ad5.halfverharding_v (1899),1,FYSIEKVOORKOMEN_half verhard_half verhard_gravel_half verhard_grind_half verhard_puin_half verhard_schelpen,wegen
ad4.ondersteunendWegdeel_v (34754),ad5.halfverharding_v (1899),1,FYSIEKVOORKOMEN_half verhard_half verhard_gravel_half verhard_grind_half verhard_puin_half verhard_schelpen,wegen
ad4.onbegroeidTerreindeel_v (10669),ad5.halfverharding_v (1899),1,FYSIEKVOORKOMEN_half verhard_half verhard_gravel_half verhard_grind_half verhard_puin_half verhard_schelpen,wegen
ad4.halte_v (403),ad5.halteplaats_v (395),1,x_x,wegen
ad4.sensor_p (2001),ad5.handhavingssysteem_p (20),1,TYPESPEC_Detectie_ flitspaal,ovl/vri
ad4.begroeidTerreindeelPlantvak_v (4499),ad5.heide_v (31),1,FYSIEKVOORKOMEN_heide,groen
ad4.scheidingLand_l (12395),ad5.hek_l (11637),1,BGTPLUSTYPE_hek_niet-bgt_draadraster_niet-bgt,wegkantsystemen
ad4.straatmeubilair_p (6902),ad5.herdenkingsmonument_p (50),1,TYPESPEC_Herdenkingsmonument,wegkantsystemen
ad4.straatmeubilair_p (6902),ad5.hijsinrichting_p (1),1,TYPESPEC_Bootkraan prive,wegkantsystemen
ad4.kunstwerkdeel_mp (10),ad5.hoogspanningsmast_mp (10),1,BGTPLUSTYPE_hoogspanningsmast,kunstwerken
ad4.kunstwerkdeel_v (3773),ad5.hoogspanningsmast_v (3),1,BGTPLUSTYPE_hoogspanningsmast,kunstwerken
ad4.waterinrichtingselement_p (2466),ad5.hoogtemerk_p (4),1,TYPESPEC_Hoogtemerk,wegkantsystemen
ad4.begroeidTerreindeel_v (3887),ad5.houtwal_v (151),1,FYSIEKVOORKOMEN_houtwal,groen
ad4.bordZwemwater_p (340),ad5.informatiebord_p (1322),1,x_x,wegkantsystemen
ad4.bordScheepvaart_p (1662),ad5.informatiebord_p (1322),1,TYPESPEC_Informatiebord,wegkantsystemen
ad4.bord_p (36860),ad5.informatiebord_p (1322),1,BGTPLUSTYPE_niet-bgt_informatiebord,wegkantsystemen
ad4.bordDRIS_p (240),ad5.informatiepaneel_p (443),1,x_x,wegkantsystemen
ad4.kleineHalteDisplay_p (44),ad5.informatiepaneel_p (443),1,x_x,wegkantsystemen
ad4.bord_p (36860),ad5.informatiepaneel_p (443),1,BGTPLUSTYPE_niet-bgt_dynamische snelheidsindicator,wegkantsystemen
ad4.bordScheepvaart_p (1662),ad5.kabels_en_leidingenbord_p (1681),1,TYPESPEC_bord kabels_leidingen,wegkantsystemen
ad4.bord_p (36860),ad5.kabels_en_leidingenbord_p (1681),1,BGTPLUSTYPE_niet-bgt_verklikker transportleiding,wegkantsystemen
ad4.scheidingWater_l (11359),ad5.kademuur_l (293),1,BGTPLUSTYPE_kademuur,vaarwegen
ad4.scheiding_v (5023),ad5.kademuur_v (947),1,BGTPLUSTYPE_kademuur,vaarwegen
ad4.kast_p (2249),ad5.kast_p (747),1,TYPESPEC_Kast_ onbekend_OV,ovl/vri
ad4.put_p (1278),ad5.kolk_p (4680),1,BGTPLUSTYPE_niet-bgt_kolk,bodem
ad4.leidingelement_p (26119),ad5.kolk_p (4680),1,TYPESPEC_Kolk_RWS kolk_Straatkolk_Trottoirkolk_Rioolleidingelement_ onbekend,bodem
ad4.kruispunt_p (808),ad5.kruispunt_p (808),1,x_x,integraal
ad4.straatmeubilair_p (6902),ad5.kunstobject_p (4),1,TYPESPEC_kunstobject,wegkantsystemen
ad4.onbegroeidTerreindeel_v (10669),ad5.kunststofverharding_v (27),1,FYSIEKVOORKOMEN_gesloten verharding_kunststof,wegen
ad4.bouwdeelGeluidsscherm_tbl (2050),ad5.kunstwerkbouwdeel_tbl (28605),1,x_x,kunstwerken
ad4.bouwdeelKunstwerk_tbl (26548),ad5.kunstwerkbouwdeel_tbl (28605),1,x_x,kunstwerken
ad4.kunstwerkdeel_l (2556),ad5.kunstwerkdeel_l (0),1,BGTPLUSTYPE_niet-bgt,kunstwerken
ad4.kunstwerkdeel_v (3773),ad5.kunstwerkdeel_v (0),1,BGTPLUSTYPE_niet-bgt,kunstwerken
ad4.kwElement_tbl (10587),ad5.kunstwerkelement_tbl (10587),1,x_x,kunstwerken
ad4.overbruggingsdeel_v (2909),ad5.landhoofd_v (501),1,TYPEOVERBRUGGINGSDEEL_landhoofd,kunstwerken
ad4.lamp_p (12430),ad5.lichtbron_p (12535),1,x_x,ovl/vri
ad4.sensor_p (2001),ad5.lichtsensor_p (85),1,TYPESPEC_Schemerschakelaar,ovl/vri
ad4.ligplaatsstrook_v (38),ad5.ligplaatsstrook_v (38),1,x_x,vaarwegen
ad4.weginrichtingselement_l (8250),ad5.lijngoot_l (20),1,TYPESPEC_Lijnafwatering,wegen
ad4.straatmeubilair_p (6902),ad5.luidspreker_p (206),1,TYPESPEC_Luidspreker,ovl/vri
ad4.gebouwInstallatie_v (6),ad5.luifel_v (3),1,BGTPLUSTYPE_niet-bgt_luifel,kunstwerken
ad4.mantelbuis_v (10067),ad5.mantelbuis_v (2501),1,x_x,bodem
ad4.paalDraagconstructie_p (50695),ad5.markeringspaal_p (61),1,BGTPLUSTYPE_niet-bgt_dijkpaal,wegkantsystemen
ad4.paalAfbakening_p (34245),ad5.markeringspaal_p (61),1,TYPESPEC_dijkpaal_grensmarkering,wegkantsystemen
ad4.waterinrichtingselement_p (2466),ad5.meerpaal_p (2303),1,TYPESPEC_Dukdalf_Meerpaal,wegkantsystemen
ad4.paalDraagconstructie_p (50695),ad5.meldpaal_p (359),1,BGTPLUSTYPE_niet-bgt_drukknoppaal_niet-bgt_praatpaal,ovl/vri
