source,target,value,mapping,assetgroep
ad4.sensor_p (1996),ad5.rateltikker_p (15),1,TYPESPEC_Rateltikker,ovl/vri
ad4.sensor_p (1996),ad5.drukknop_p (933),1,TYPESPEC_Drukknopsensor,ovl/vri
ad4.sensor_p (1996),ad5.lichtsensor_p (85),1,TYPESPEC_Schemerschakelaar,ovl/vri
ad4.sensor_p (1996),ad5.camera_p (671),1,TYPESPEC_Detectie_ camera overig_ObservatieCamera_Straatmeubilair_ camera,ovl/vri
ad4.sensor_p (1996),ad5.antenne_p (92),1,TYPESPEC_Kar antenne,ovl/vri
ad4.sensor_p (1996),ad5.detector_p (9),1,TYPESPEC_Radar detector,ovl/vri
ad4.straatmeubilairAbri_p (282),ad5.abri_p (282),1,x_x,wegkantsystemen
ad4.straatmeubilairLichtpunt_p (25498),ad5.armatuur_p (23252),1,TYPESPEC_ARM_MU,ovl/vri
ad4.straatmeubilairLichtpunt_p (25498),ad5.actievewegmarkering_p (2246),1,TYPESPEC_AM,ovl/vri
ad4.straatmeubilair_p (6902),ad5.veiligheidsvoorziening_p (110),1,TYPESPEC_Lier_Nooduitgangtrap_ Reddingsboei_Inspringvoorziening,wegkantsystemen
ad4.straatmeubilair_p (6902),ad5.tafel_p (13),1,TYPESPEC_Picknick tafel,wegkantsystemen
ad4.straatmeubilair_p (6902),ad5.zitelement_p (499),1,TYPESPEC_zitbank,wegkantsystemen
ad4.straatmeubilair_p (6902),ad5.verkeersspiegel_p (93),1,TYPESPEC_verkeersspiegel,wegkantsystemen
ad4.straatmeubilair_p (6902),ad5.wegdekreflector_p (69),1,TYPESPEC_Reflector,wegen
ad4.straatmeubilair_p (6902),ad5.luidspreker_p (206),1,TYPESPEC_Luidspreker,ovl/vri
ad4.straatmeubilair_p (6902),ad5.betaalautomaat_p (9),1,TYPESPEC_Betaalautomaat,wegkantsystemen
ad4.straatmeubilair_p (6902),ad5.rookpaal_p (3),1,TYPESPEC_Peukenpaal,wegkantsystemen
ad4.straatmeubilair_p (6902),ad5.akoestische_signaalgever_p (92),1,TYPESPEC_bel,ovl/vri
ad4.straatmeubilair_p (6902),ad5.bolder_p (5628),1,TYPESPEC_Bolder,wegkantsystemen
