source,target,value,mapping,assetgroep
ad4.scheiding_v (5061),ad5.muur_v (3856),1,RELATIEVEHOOGTELIGGING_0_1_2,kunstwerken
ad4.bouwdeelGeluidsscherm_tbl (2049),ad5.neninspectie_tbl (95784),1,x_x,inspecties
ad4.bouwdeelKunstwerk_tbl (26572),ad5.neninspectie_tbl (95784),1,x_x,inspecties
ad4.bouwdeelOevervak_tbl (21424),ad5.neninspectie_tbl (95784),1,x_x,inspecties
ad4.elementOevervak_tbl (15516),ad5.neninspectie_tbl (95784),1,x_x,inspecties
ad4.kunstwerk_p (869),ad5.neninspectie_tbl (95784),1,x_x,inspecties
ad4.kwElement_tbl (10591),ad5.neninspectie_tbl (95784),1,x_x,inspecties
ad4.oevervak_v (6921),ad5.neninspectie_tbl (95784),1,x_x,inspecties
ad4.scheidingGeluidsscherm_l (486),ad5.neninspectie_tbl (95784),1,x_x,inspecties
ad4.scheidingWater_l (11356),ad5.neninspectie_tbl (95784),1,x_x,inspecties
ad4.pandHuisnummerreeks_t (2014),ad5.nummeraanduiding_a (2014),1,x_x,overig
ad4.ondersteunendWaterdeel_v (16117),ad5.oever_of_slootkant_v (16118),1,BGTPLUSTYPE_oever_ slootkant,vaarwegen
ad4.bouwdeelOevervak_tbl (21424),ad5.oeverbouwdeel_tbl (21424),1,x_x,vaarwegen
ad4.elementOevervak_tbl (15516),ad5.oeverelement_tbl (15516),1,x_x,vaarwegen
ad4.oevervak_v (6921),ad5.oeverzone_v (6921),1,x_x,vaarwegen
ad4.kunstwerk_p (869),ad5.onderdoorgang_p (113),1,NENBEHEEROBJECT_Onderdoorgangen,kunstwerken
ad4.onbegroeidTerreindeel_v (10729),ad5.onverhard_v (1623),1,FYSIEKVOORKOMEN_onverhard_onverhard_boomschors_onverhard_zand,wegen
ad4.ondersteunendWegdeel_v (34770),ad5.onverhard_v (1623),1,FYSIEKVOORKOMEN_onverhard_onverhard_boomschors_onverhard_zand,wegen
ad4.wegdeel_v (61153),ad5.onverhard_v (1623),1,FYSIEKVOORKOMEN_onverhard_onverhard_boomschors_onverhard_zand,wegen
ad4.overigBouwwerk_v (856),ad5.open_loods_v (36),1,BGTPLUSTYPE_open loods,overig
ad4.bak_p (994),ad5.opslagbak_p (31),1,BGTPLUSTYPE_niet-bgt_zand- _ zoutbak,kunstwerken
ad4.overigBouwwerk_v (856),ad5.opslagtank_v (24),1,BGTPLUSTYPE_opslagtank,overig
ad4.overbruggingsdeel_v (2944),ad5.overbruggingsdeel_v (290),1,TYPEOVERBRUGGINGSDEEL_Null,kunstwerken
ad4.overigBouwwerk_v (856),ad5.overigbouwwerk_v (35),1,BGTPLUSTYPE_niet-bgt,overig
ad4.kunstwerk_p (869),ad5.overigkunstwerk_p (21),1,NENBEHEEROBJECT_Spoorwegen_Grondkeringen_Faunatunnel_Onbekend_Wateren en watergangen niet lijnvormig_ overig,kunstwerken
ad4.overigBouwwerk_v (856),ad5.overkapping_v (360),1,BGTPLUSTYPE_overkapping,wegen
ad4.kastOvl_p (609),ad5.ovl_kast_p (609),1,x_x,elektrotechniek
ad4.mast_p (3),ad5.paal_p (51352),1,BGTPLUSTYPE_niet-bgt_laagspanningsmast,overig
ad4.paalAfbakening_p (34233),ad5.paal_p (51352),1,TYPESPEC_Paal,overig
ad4.paalDraagconstructie_p (50708),ad5.paal_p (51352),1,BGTPLUSTYPE_niet-bgt_haltepaal_niet-bgt_lichtmast_niet-bgt_verkeersbordpaal_niet-bgt_verkeersregelinstallatiepaal_niet-bgt_portaal_niet-bgt,overig
ad4.peilbuis_p (666),ad5.peilbuis_p (666),1,x_x,overig
ad4.kunstwerkdeel_v (3794),ad5.perron_v (444),1,BGTPLUSTYPE_perron,wegen
ad4.perron_v (442),ad5.perron_v (444),1,x_x,wegen
ad4.overbruggingsdeel_v (2944),ad5.pijler_v (1041),1,TYPEOVERBRUGGINGSDEEL_pijler,kunstwerken
ad4.begroeidTerreindeelPlantvak_v (4558),ad5.planten_v (721),1,FYSIEKVOORKOMEN_groenvoorziening_planten,groen
ad4.ondersteunendWegdeel_v (34770),ad5.planten_v (721),1,FYSIEKVOORKOMEN_groenvoorziening_planten,groen
ad4.plaaginvasiesoortInspectie_p (151),ad5.plantensoortlocatie_p (151),1,x_x,groen
ad4.paalAfbakening_p (34233),ad5.poller_p (19),1,TYPESPEC_Poller,elektrotechniek
ad4.paalDraagconstructie_p (50708),ad5.poller_p (19),1,BGTPLUSTYPE_niet-bgt_poller,elektrotechniek
ad4.installatie_p (296),ad5.pomp_p (261),1,BGTPLUSTYPE_niet-bgt_pomp,elektrotechniek
ad4.kunstwerkdeel_v (3794),ad5.ponton_v (1),1,BGTPLUSTYPE_niet-bgt_ponton,vaarwegen
ad4.uitleggerPortaal_l (923),ad5.portaal_l (572),1,TYPESPEC_Portaal,elektrotechniek
ad4.begroeidTerreindeelBermKr_l (1022),ad5.profiellijn_l (3596),1,x_x,groen
ad4.begroeidTerreindeelKruin_l (58),ad5.profiellijn_l (3596),1,x_x,groen
ad4.begroeidTerreindeelPlKr_l (198),ad5.profiellijn_l (3596),1,x_x,groen
ad4.onbegroeidTerreindeelKruin_l (111),ad5.profiellijn_l (3596),1,x_x,groen
ad4.ondersteunendWegdeelKruin_l (2197),ad5.profiellijn_l (3596),1,x_x,groen
ad4.wegdeelKruin_l (10),ad5.profiellijn_l (3596),1,x_x,groen
ad4.overbruggingsdeel_v (2944),ad5.pyloon_v (28),1,TYPEOVERBRUGGINGSDEEL_pyloon,kunstwerken
ad4.sensor_p (1996),ad5.rateltikker_p (15),1,TYPESPEC_Rateltikker,elektrotechniek
ad4.bord_p (38998),ad5.reclamebord_p (92),1,BGTPLUSTYPE_niet-bgt_reclamebord,overig
ad4.waterinrichtingselement_l (718),ad5.remmingswerk_l (300),1,BGTPLUSTYPE_niet-bgt_remmingswerk,vaarwegen
ad4.begroeidTerreindeelPlantvak_v (4558),ad5.rietland_v (340),1,FYSIEKVOORKOMEN_rietland,groen
ad4.weginrichtingselement_l (8273),ad5.rijstrookscheiding_l (79),1,TYPESPEC_VRBS,wegen
